date,id,username,text,retweets,favorites,permalink,mentions,hashtags,geo,emojis,lang,verified,replyCount,quoteCount,source,outlinks
"2019-02-01 23:58:22",1091485945201799169,"bispasonia","Sábado 17:00 renascerarena vai ser impactante louvor com @renascerpraise Palavra que é como farol que nos guia o mês inteiro à viver o que só Deus poderia nos fazer viver! Mover do… https://t.co/yVo1oPvAuR",0,6,"https://twitter.com/bispasonia/status/1091485945201799169","@renascerpraise","","","","pt","","0","0","<a href='http://instagram.com' rel='nofollow'>Instagram</a>","https://www.instagram.com/p/BtW8M1sBBuf/?utm_source=ig_twitter_share&igshid=13skzb5yc5mq7"
"2019-02-01 23:53:07",1091484621487915009,"elalol","aniversário do danzito (@ Shuffle Bar in São Paulo  SP) https://t.co/2vYCv2Ztro",0,0,"https://twitter.com/elalol/status/1091484621487915009","@","","","","pt","","0","0","<a href='http://foursquare.com' rel='nofollow'>Foursquare</a>","https://www.swarmapp.com/c/kMQensHbSbL"
"2019-02-01 23:43:32",1091482209167515648,"ClaudioFuica","Visita al Teatro Municipal de Sao Paulo  un recorrido desde los pasillos subterráneos  hasta la cúpula.

Visita ao Teatro Municipal de São Paulo  um passeio pelos corredores subterrâneos … https://t.co/UtpGiF0fFp",0,0,"https://twitter.com/ClaudioFuica/status/1091482209167515648","","","","","pt","","0","0","<a href='http://instagram.com' rel='nofollow'>Instagram</a>","https://www.instagram.com/p/BtW6fzyF52H/?utm_source=ig_twitter_share&igshid=jgjxdrdol02a"
"2019-02-01 23:43:13",1091482132378198017,"alinesluna","Setting Goals for 2019  but first let’s define our mission  values and vision #platformmanifesto @InfoEcon @sanguit https://t.co/382dJwwyEM https://t.co/kGdEZgvuqz",0,7,"https://twitter.com/alinesluna/status/1091482132378198017","@InfoEcon @sanguit","#platformmanifesto","","","en","","1","1","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","https://platformed.info/the-platform-manifesto/"
"2019-02-01 23:41:04",1091481589131984896,"jbroder_ma","Let's party! https://t.co/NIJqZmFPwD",0,7,"https://twitter.com/jbroder_ma/status/1091481589131984896","","","","","en","","1","0","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>",""
"2019-02-01 23:34:46",1091480005207502849,"Samii_Kiske","Venom Inc. some years ago #VenonInc #blackmetal @ Hangar 110 https://t.co/bWMWu8CPL3",0,0,"https://twitter.com/Samii_Kiske/status/1091480005207502849","@","#VenonInc #blackmetal","","","en","","0","0","<a href='http://instagram.com' rel='nofollow'>Instagram</a>","https://www.instagram.com/p/BtW5f-jg6ch_s8oqySjVupABXyZLOKTez4nck40/?utm_source=ig_twitter_share&igshid=3ww6034jjcrm"
"2019-02-01 23:33:53",1091479781043027968,"ajanelalaranja","Abaixo do hall de entrada do Farol Santander  guardado a sete chaves e atrás de grades de aço em um espaço tombado  estreia hoje o Bar do Cofre SubAstor.

O novo balcão comandado pelo time… https://t.co/DR7Ve6emcO",0,2,"https://twitter.com/ajanelalaranja/status/1091479781043027968","","","","","pt","","0","0","<a href='http://instagram.com' rel='nofollow'>Instagram</a>","https://www.instagram.com/p/BtW5ZYXFode/?utm_source=ig_twitter_share&igshid=ol5bj1ja3o7h"
"2019-02-01 23:32:44",1091479493326319616,"FeehGarcia","I'm at Sorveteria do Centro in São Paulo  SP w/ @garotobipolar https://t.co/7Eld7k7f3r",0,0,"https://twitter.com/FeehGarcia/status/1091479493326319616","@garotobipolar","","","","pt","","0","0","<a href='http://foursquare.com' rel='nofollow'>Foursquare</a>","https://www.swarmapp.com/c/dDF9wKwFQGb"
"2019-02-01 23:31:22",1091479149359890432,"Thalisson_af","I'm at Estação República (Metrô) in São Paulo  SP https://t.co/AgRS8N8kn6",0,0,"https://twitter.com/Thalisson_af/status/1091479149359890432","","","","","pt","","0","0","<a href='http://foursquare.com' rel='nofollow'>Foursquare</a>","https://www.swarmapp.com/c/jLLMHXHR4H2"
"2019-02-01 23:22:02",1091476798762860544,"dualVHS","Todo mundo azedando e aquela música de fundo no metrô me fez perceber que nem tudo estava tão ruim
me senti num filme real",0,0,"https://twitter.com/dualVHS/status/1091476798762860544","","","","","pt","","0","0","<a href='http://www.samruston.co.uk' rel='nofollow'>Flamingo for Android</a>",""
"2019-02-01 23:21:42",1091476715543482370,"KleberGuzman","El famoso sanduche de mortadela de #saopaulo en Mercado Municipal - São Paulo https://t.co/DhkvuWgyds",0,0,"https://twitter.com/KleberGuzman/status/1091476715543482370","","#saopaulo","","","pt","","0","0","<a href='http://instagram.com' rel='nofollow'>Instagram</a>","https://www.instagram.com/p/BtW4AO2hBUs/?utm_source=ig_twitter_share&igshid=mho2ccf1yivr"
"2019-02-01 23:20:38",1091476447594770433,"dualVHS","Fiquei 30~40 minutos travado na linha azul e sem ar condicionado e comecei a rir da desgraça",0,0,"https://twitter.com/dualVHS/status/1091476447594770433","","","","","pt","","1","0","<a href='http://www.samruston.co.uk' rel='nofollow'>Flamingo for Android</a>",""
"2019-02-01 23:20:03",1091476300923953152,"JulioCFornazier","Tintas sublimaticas inktec DTI. 30 00 cada frasco de 100ml a vista  fora o frete. 11.98491-6551 Julio Cesar em SPCollor - Distribuidora https://t.co/uQkoFJS4tR",0,0,"https://twitter.com/JulioCFornazier/status/1091476300923953152","","","","","pt","","0","0","<a href='http://instagram.com' rel='nofollow'>Instagram</a>","https://www.instagram.com/p/BtW30LHgcv2/?utm_source=ig_twitter_share&igshid=h36efn7zs08x"
"2019-02-01 23:00:44",1091471441340567552,"rogerioblackpa1","🙏🙏🙏🙏 em Shopping D Avenida Cruzeiro Do Sul  1100 Canindé  São Paulo Sp https://t.co/OTR1yzkyVp",0,0,"https://twitter.com/rogerioblackpa1/status/1091471441340567552","","","","🙏 🙏 🙏 🙏","pt","","0","0","<a href='http://instagram.com' rel='nofollow'>Instagram</a>","https://www.instagram.com/p/BtW1mzZA0jtt0cT3BzHiLgcpYiFxxphyaAKGRo0/?utm_source=ig_twitter_share&igshid=1t9mdxcbm8hv4"
"2019-02-01 23:00:16",1091471320603414529,"lhegal","#CleanBandit (at @AudioClubsp in São Paulo  SP w/ @fernando348) https://t.co/eTDschqzkH",0,0,"https://twitter.com/lhegal/status/1091471320603414529","@AudioClubsp @fernando348","#CleanBandit","","","pt","","0","0","<a href='http://foursquare.com' rel='nofollow'>Foursquare</a>","https://www.swarmapp.com/c/ivF6m1ZrptL"
"2019-02-01 23:00:11",1091471301506666496,"LMorato_","Trabalhani. 

C.: gabrielns_ em Estúdios Gravodisc https://t.co/jINGAosca1",0,1,"https://twitter.com/LMorato_/status/1091471301506666496","","","","","pt","","0","0","<a href='http://instagram.com' rel='nofollow'>Instagram</a>","https://www.instagram.com/p/BtW1irAl7dw/?utm_source=ig_twitter_share&igshid=ckwxxo23o0vl"
"2019-02-01 22:50:07",1091468769233375232,"FeehGarcia","I'm at Sertó in São Paulo  SP w/ @garotobipolar https://t.co/QBhNKsnQ7l",0,0,"https://twitter.com/FeehGarcia/status/1091468769233375232","@garotobipolar","","","","pt","","0","0","<a href='http://foursquare.com' rel='nofollow'>Foursquare</a>","https://www.swarmapp.com/c/7ua6H4V5YX5"
"2019-02-01 22:17:03",1091460444731125761,"dannycelestino","Não existe lugar mais lindo e abençoado do que esse 😍😍 https://t.co/7MpAvs79Le",0,3,"https://twitter.com/dannycelestino/status/1091460444731125761","","","","😍 😍","pt","","0","0","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>",""
"2019-02-01 22:17:00",1091460434262196225,"GRINGOSRECORDS","#Repost @GRINGOSRECORDS with get_repost
・・・
Salve Galera amanhã aqui na GRINGOS RECORDS Tarde de Autógrafos com DJ HUM @djhum Lançamento do Vinyl JAZZY BEATS a partir das 15 hrs 
GRINGOS… https://t.co/lFvYuOeis4",0,0,"https://twitter.com/GRINGOSRECORDS/status/1091460434262196225","@GRINGOSRECORDS @djhum","#Repost","","","pt","","0","0","<a href='http://instagram.com' rel='nofollow'>Instagram</a>","https://www.instagram.com/p/BtWwePEhFnY/?utm_source=ig_twitter_share&igshid=jvjy82dqmysf"
"2019-02-01 22:15:03",1091459942442127360,"bispasonia","Que este mês de fevereiro Deus em seu infinito amor te prospere em tudo que fizer  alegre seu coração! Te guie nas escolhas e decisões acertadas  desde as maiores até as menores; inclusive… https://t.co/fPMrSgHQY5",0,25,"https://twitter.com/bispasonia/status/1091459942442127360","","","","","pt","","14","0","<a href='http://instagram.com' rel='nofollow'>Instagram</a>","https://www.instagram.com/p/BtWwYIGhJea/?utm_source=ig_twitter_share&igshid=xlofieyhk48b"
