SEQ,LONG,LAT,LOCAL_ED,LOCALIZACA,REFERENCIA,DATA,MES,H_INICIO,H_FIM,DURACAO,DUR_H,id
15.00000,-46.63483,-23.54211,TUN PAPA JOAO PAULO II,TN PAPA JOAO PAULO II REPUBLICA,AV PRESTES MAIA-SANTANAAEROPORTO-SE,2019/01/03,1.00000,19:52:00,20:04:00,00:12:00,0.20000,
22.00000,-46.62947,-23.54036,R DA CANTAREIRA,R DA CANTAREIRA,AV MERCURIO-BAIRROCENTRO-SE,2019/01/04,1.00000,14:45:00,15:03:00,00:18:00,0.30000,
28.00000,-46.62756,-23.53926,R PAULA SOUSA,R PAULA SOUSA,AV DO ESTADO-AMBOS - LOCAL-SE,2019/01/04,1.00000,15:04:00,15:53:00,00:49:00,0.82000,
32.00000,-46.62704,-23.54312,AV MERCURIO,AV MERCURIO,PC S VITO-UNICO-SE,2019/01/04,1.00000,15:56:00,17:56:00,02:00:00,2.00000,
33.00000,-46.63050,-23.53974,AV SEN QUEIROS,AV SEN QUEIROS,ALTURA DO NUMERO 587-UNICO-SE,2019/01/04,1.00000,17:52:00,19:30:00,01:38:00,1.63000,
44.00000,-46.64246,-23.53650,AV RIO BRANCO,AV RIO BRANCO,AV DUQUE DE CAXIAS-BAIRROCENTRO-SE,2019/01/08,1.00000,17:09:00,17:57:00,00:48:00,0.80000,
56.00000,-46.63012,-23.51902,MARGINAL TIETE,MARGINAL TIETE,PTE DAS BANDEIRAS SEN ROMEU TUMA - A SENNA/CASTELO B - AUXILIAR,2019/01/11,1.00000,16:22:00,17:56:00,01:34:00,1.57000,
58.00000,-46.63012,-23.51902,MARGINAL TIETE,MARGINAL TIETE,PTE DAS BANDEIRAS SEN ROMEU TUMA - A SENNA/CASTELO B - CENTRAL,2019/01/11,1.00000,17:40:00,17:45:00,00:05:00,0.08000,
82.00000,-46.64246,-23.53650,AV RIO BRANCO,AV RIO BRANCO,AV DUQUE DE CAXIAS-BAIRROCENTRO-SE,2019/01/17,1.00000,18:57:00,19:35:00,00:38:00,0.63000,
99.00000,-46.62877,-23.52407,R PAULINO GUIMARAES,R PAULINO GUIMAR├âES,R EDUARDO CHAVES-UNICO-SE,2019/01/22,1.00000,15:04:00,16:20:00,01:16:00,1.27000,
100.00000,-46.63984,-23.51591,AV OLAVO FONTOURA,AV OLAVO FONTOURA,ALTURA DO N 1209-STCV-ST,2019/01/22,1.00000,15:20:00,16:30:00,01:10:00,1.17000,
103.00000,-46.62704,-23.54312,AV MERCURIO,AV MERCURIO,PC S VITO-UNICO-SE,2019/01/22,1.00000,15:56:00,18:55:00,02:59:00,2.98000,
109.00000,-46.63012,-23.51902,MARGINAL TIETE,MARGINAL TIETE,PTE DAS BANDEIRAS SEN ROMEU TUMA - A SENNA/CASTELO B - CENTRAL,2019/01/22,1.00000,17:14:00,18:52:00,01:38:00,1.63000,
110.00000,-46.64996,-23.53704,AV S JOAO,AV S JOAO,ALTURA DO N 1821-BAIRROCENTRO-SE,2019/01/22,1.00000,17:25:00,18:29:00,01:04:00,1.07000,
