SEQ,LONG,LAT,LOCAL_ED,LOCALIZACA,REFERENCIA,DATA,MES,H_INICIO,H_FIM,DURACAO,DUR_H,id_estacao,codestacao,latitude,longitude,nome,id_municip,rede,tipoestaca,geocodigo,cidade,xcoord,ycoord
7.00000,-46.63881,-23.54941,PC DA BANDEIRA,PC DA BANDEIRA,AV VINTE E TRES DE MAIO-CENTROBAIRRO-SE,2019/01/01,1.00000,18:34:00,19:23:00,00:49:00,0.82000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
13.00000,-46.63858,-23.54891,PC DA BANDEIRA,PC DA BANDEIRA,ALTURA DO NUMERO 27-CENTROBAIRRO-SE,2019/01/03,1.00000,17:27:00,17:42:00,00:15:00,0.25000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
14.00000,-46.63824,-23.55033,AV VINTE E TRES DE MAIO,AV VINTE E TRES DE MAIO LIBERDADE,PC DA BANDEIRA-SANTANAAEROPORTO-SE,2019/01/03,1.00000,19:43:00,20:18:00,00:35:00,0.58000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
15.00000,-46.63483,-23.54211,TUN PAPA JOAO PAULO II,TN PAPA JOAO PAULO II REPUBLICA,AV PRESTES MAIA-SANTANAAEROPORTO-SE,2019/01/03,1.00000,19:52:00,20:04:00,00:12:00,0.20000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
22.00000,-46.62947,-23.54036,R DA CANTAREIRA,R DA CANTAREIRA,AV MERCURIO-BAIRROCENTRO-SE,2019/01/04,1.00000,14:45:00,15:03:00,00:18:00,0.30000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
28.00000,-46.62756,-23.53926,R PAULA SOUSA,R PAULA SOUSA,AV DO ESTADO-AMBOS - LOCAL-SE,2019/01/04,1.00000,15:04:00,15:53:00,00:49:00,0.82000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
32.00000,-46.62704,-23.54312,AV MERCURIO,AV MERCURIO,PC S VITO-UNICO-SE,2019/01/04,1.00000,15:56:00,17:56:00,02:00:00,2.00000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
33.00000,-46.63050,-23.53974,AV SEN QUEIROS,AV SEN QUEIROS,ALTURA DO NUMERO 587-UNICO-SE,2019/01/04,1.00000,17:52:00,19:30:00,01:38:00,1.63000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
41.00000,-46.63824,-23.55033,PC DA BANDEIRA,P├ç DA BANDEIRA,AV 23 DE MAIO-CENTROBAIRRO-SE,2019/01/08,1.00000,16:22:00,17:47:00,01:25:00,1.42000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
44.00000,-46.64246,-23.53650,AV RIO BRANCO,AV RIO BRANCO,AV DUQUE DE CAXIAS-BAIRROCENTRO-SE,2019/01/08,1.00000,17:09:00,17:57:00,00:48:00,0.80000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
81.00000,-46.63881,-23.54941,PC DA BANDEIRA,PC DA BANDEIRA,AV VINTE E TRES DE MAIO-CENTROBAIRRO-SE,2019/01/17,1.00000,18:41:00,19:27:00,00:46:00,0.77000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
82.00000,-46.64246,-23.53650,AV RIO BRANCO,AV RIO BRANCO,AV DUQUE DE CAXIAS-BAIRROCENTRO-SE,2019/01/17,1.00000,18:57:00,19:35:00,00:38:00,0.63000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
99.00000,-46.62877,-23.52407,R PAULINO GUIMARAES,R PAULINO GUIMAR├âES,R EDUARDO CHAVES-UNICO-SE,2019/01/22,1.00000,15:04:00,16:20:00,01:16:00,1.27000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
102.00000,-46.64035,-23.55135,R MARIA PAULA,R MARIA PAULA,R STO AMARO-UNICO-SE,2019/01/22,1.00000,15:42:00,16:57:00,01:15:00,1.25000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
103.00000,-46.62704,-23.54312,AV MERCURIO,AV MERCURIO,PC S VITO-UNICO-SE,2019/01/22,1.00000,15:56:00,18:55:00,02:59:00,2.98000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
115.00000,-46.64249,-23.53660,AV RIO BRANCO,AV RIO BRANCO,AV DUQ DE CAXIAS-BAIRROCENTRO-SE,2019/01/24,1.00000,16:04:00,16:43:00,00:39:00,0.65000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
118.00000,-46.63824,-23.55033,PC DA BANDEIRA,PC DA BANDEIRA,AV VINTE E TR├â┼áS DE MAIO-BAIRROCENTRO-SE,2019/01/24,1.00000,16:22:00,16:50:00,00:28:00,0.47000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
119.00000,-46.64046,-23.54909,AV NOVE DE JULHO,AV NOVE DE JULHO,PC DA BANDEIRA-AMBOS-SE,2019/01/24,1.00000,16:23:00,16:40:00,00:17:00,0.28000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
122.00000,-46.63891,-23.54981,PC DA BANDEIRA,PC DA BANDEIRA,ALTURA DO NUMERO 0-CENTROBAIRRO-SE,2019/01/24,1.00000,16:32:00,16:40:00,00:08:00,0.13000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
126.00000,-46.62906,-23.55824,R TEIXEIRA LEITE,R TEIXEIRA LEITE,VD DO GLICERIO-CENTROBAIRRO-SE,2019/01/24,1.00000,16:38:00,17:45:00,01:07:00,1.12000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
128.00000,-46.64115,-23.53824,AV RIO BRANCO,AV RIO BRANCO,R DOS GUSMOES-BAIRROCENTRO-SE,2019/01/24,1.00000,16:45:00,18:19:00,01:34:00,1.57000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
132.00000,-46.63078,-23.52465,AV SANTOS DUMONT,AV SANTOS DUMONT,AV DO ESTADO-AEROPORTOSANTANA-SE,2019/01/24,1.00000,16:52:00,18:28:00,01:36:00,1.60000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
133.00000,-46.62856,-23.55720,R TEIXEIRA LEITE,R TEIXEIRA LEITE,R S PAULO-CENTROBAIRRO-SE,2019/01/24,1.00000,17:06:00,17:42:00,00:36:00,0.60000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
136.00000,-46.62756,-23.54909,AV DO ESTADO,AV DO ESTADO,VD VINTE E CINCO DE MARCO-SANTANAIPIRANGA-SE,2019/01/25,1.00000,00:55:00,01:16:00,00:21:00,0.35000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
137.00000,-46.64497,-23.53303,AV RIO BRANCO,AV RIO BRANCO,AV RUDGE-BAIRROCENTRO-PI,2019/01/25,1.00000,17:01:00,20:22:00,03:21:00,3.35000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
148.00000,-46.62756,-23.54909,AV DO ESTADO,AV DO ESTADO,VD VINTE E CINCO DE MARCO-SANTANAIPIRANGA-SE,2019/01/25,1.00000,22:54:00,22:30:00,23:36:00,23.60000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
166.00000,-46.62947,-23.54036,R DA CANTAREIRA,R DA CANTAREIRA,AV MERCURIO-AMBOS-SE,2019/01/30,1.00000,16:59:00,18:00:00,01:01:00,1.02000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
175.00000,-46.64164,-23.53795,AV RIO BRANCO,AV RIO BRANCO,ALTURA DO NUMERO 621-BAIRROCENTRO-SE,2019/01/30,1.00000,17:16:00,18:41:00,01:25:00,1.42000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
179.00000,-46.64249,-23.53660,AV RIO BRANCO,AV RIO BRANCO,AV DUQ DE CAXIAS-AMBOS-SE,2019/01/30,1.00000,17:19:00,19:05:00,01:46:00,1.77000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
189.00000,-46.63638,-23.53978,AV IPIRANGA,AV IPIRANGA,AV CASPER LIBERO-CENTROBAIRRO-SE,2019/01/30,1.00000,18:14:00,18:54:00,00:40:00,0.67000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
208.00000,-46.63078,-23.52465,AV SANTOS DUMONT,AV SANTOS DUMONT,AV DO ESTADO-AEROPORTOSANTANA-SE,2019/02/04,2.00000,03:53:00,09:50:00,05:57:00,5.95000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
228.00000,-46.63036,-23.52401,AV SANTOS DUMONT,AV SANTOS DUMONT,ALTURA DO NUMERO 536-AEROPORTOSANTANA-SE,2019/02/04,2.00000,07:47:00,07:22:00,23:35:00,23.58000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
230.00000,-46.64168,-23.53753,AV RIO BRANCO,AV RIO BRANCO,R GAL OSORIO-BAIRROCENTRO-SE,2019/02/04,2.00000,08:08:00,13:30:00,05:22:00,5.37000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
232.00000,-46.61156,-23.54003,AV CELSO GARCIA,AV CELSO GARCIA,R JOSE DE ALENCAR-CENTROBAIRRO - UNICA-MO,2019/02/06,2.00000,07:42:00,09:38:00,01:56:00,1.93000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
244.00000,-46.63057,-23.52438,AV DO ESTADO,AV DO ESTADO BOM RETIRO,DA AV PTE SANTOS DUMONT-IPIRANGASANTANA - LOCAL-SE,2019/02/06,2.00000,12:56:00,13:05:00,00:09:00,0.15000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
246.00000,-46.61478,-23.54181,R GOMES CARDIM,R GOMES CARDIM BRAS,AV RANGEL PESTANA-UNICO - UNICA-MO,2019/02/06,2.00000,12:56:00,16:56:00,04:00:00,4.00000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
260.00000,-46.62826,-23.55452,R GLICERIO,R GLICERIO,ALTURA DO NUMERO 221-UNICO - NAO INFORMADA-SE,2019/02/06,2.00000,16:01:00,16:48:00,00:47:00,0.78000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
268.00000,-46.62704,-23.54312,AV MERCURIO,AV MERCURIO,PC S VITO-UNICO - ESQUERDA-SE,2019/02/06,2.00000,18:36:00,21:50:00,03:14:00,3.23000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
289.00000,-46.63891,-23.54981,PC DA BANDEIRA,PC DA BANDEIRA REPUBLICA,PQ ANHANGABAU-BAIRROCENTRO - LOCAL-SE,2019/02/15,2.00000,21:36:00,22:04:00,00:28:00,0.47000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
293.00000,-46.64046,-23.54909,PC DA BANDEIRA,PC DA BANDEIRA,AV NOVE DE JULHO-CENTROBAIRRO-SE,2019/02/15,2.00000,21:43:00,22:02:00,00:19:00,0.32000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
318.00000,-46.62856,-23.55720,R TEIXEIRA LEITE,R TEIXEIRA LEITE,R S PAULO-UNICO-SE,2019/02/16,2.00000,19:08:00,21:33:00,02:25:00,2.42000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
324.00000,-46.62947,-23.54036,AV MERCURIO,AV MERCURIO,R DA CANTAREIRA-UNICO-SE,2019/02/16,2.00000,19:37:00,00:00:00,04:23:00,4.38000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
372.00000,-46.63891,-23.54979,PC DA BANDEIRA,PC DA BANDEIRA (REPUBLICA),PQ ANHANGABAU - BAIRRO/CENTRO,2019/02/21,2.00000,18:55:00,20:02:00,01:07:00,1.12000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
374.00000,-46.63882,-23.54827,AV VINTE E TRES DE MAIO,AV VINTE E TRES DE MAIO,AV NOVE DE JULHO - SANTANA/AEROPORTO,2019/02/21,2.00000,18:57:00,19:44:00,00:47:00,0.78000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
384.00000,-46.62485,-23.53357,AV DO ESTADO,AV DO ESTADO (BOM RETIRO),ALTURA DO N├ÜMERO 2023 - SANTANA/IPIRANGA,2019/02/21,2.00000,19:22:00,22:37:00,03:15:00,3.25000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
392.00000,-46.62856,-23.55720,R SAO PAULO,R S PAULO (LIBERDADE),R TEIXEIRA LEITE - UNICO,2019/02/21,2.00000,19:34:00,19:53:00,00:19:00,0.32000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
393.00000,-46.62550,-23.53416,R JOAO TEODORO,R JOAO TEODORO (BOM RETIRO),AV DO ESTADO - BAIRRO/CENTRO,2019/02/21,2.00000,19:35:00,22:36:00,03:01:00,3.02000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
395.00000,-46.62947,-23.54036,AV MERCURIO,AV MERCURIO (SE),R DA CANTAREIRA - AMBOS,2019/02/21,2.00000,19:37:00,21:03:00,01:26:00,1.43000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
398.00000,-46.62755,-23.53925,AV DO ESTADO,AV DO ESTADO (BOM RETIRO),R PAULA SOUSA - AMBOS,2019/02/21,2.00000,19:48:00,22:36:00,02:48:00,2.80000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
399.00000,-46.62821,-23.54135,AV DO ESTADO,AV DO. ESTADO,AV MERCURIO - SANTANA/IPIRANGA,2019/02/21,2.00000,20:09:00,21:02:00,00:53:00,0.88000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
403.00000,-46.62756,-23.54909,AV DO ESTADO,AV DO. ESTADO,VD VINTE E CINCO DE MARCO - SANTANA/IPIRANGA - N├âO INFORMADA,2019/02/21,2.00000,21:13:00,23:50:00,02:37:00,2.62000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
418.00000,-46.64249,-23.53660,AV RIO BRANCO,AV. RIO BRANCO (REPUBLICA),AV DUQ DE CAXIAS - BAIRRO/CENTRO,2019/02/24,2.00000,18:15:00,20:00:00,01:45:00,1.75000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
450.00000,-46.64249,-23.53660,AV RIO BRANCO,AV RIO BRANCO,AV DUQ DE CAXIAS-BAIRROCENTRO-SE,2019/02/26,2.00000,07:14:00,16:57:00,09:43:00,9.72000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
455.00000,-46.62704,-23.54312,AV MERCURIO,AV MERCURIO,PC S VITO-UNICO-SE,2019/02/26,2.00000,07:51:00,17:05:00,09:14:00,9.23000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
